"filename", "language", "Properties", "comment", "blank", "total"
"c:\Users\algfit\Desktop\4_kursas\Bakid\AllergyDetect\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 1, 1, 7
"Total", "-", 5, 1, 1, 7
